,Summer_two_weeks_dpH,Summer_Full_exp_dpH,Winter_two_weeks_dpH,Winter_Full_exp_dpH,Summer_two_weeks_omega,Summer_Full_exp_omega,Winter_two_weeks_omega,Winter_Full_exp_omega
636,0.0006284714,0.04506159,0.0,0.026385784,1.7516966,1.9319884,1.53941,1.6323975
637,0.00057172775,0.030911922,0.0,0.01776123,1.7568933,1.8782681,1.5477209,1.6102057
638,0.00053215027,0.028687477,0.0,0.015580177,1.7618108,1.8743819,1.5535002,1.6084074
639,0.0005044937,0.028540611,0.0,0.018165588,1.7729698,1.885736,1.5550017,1.6192638
640,0.00049209595,0.02986145,0.0,0.02145195,1.7793993,1.9046874,1.5557688,1.6319132
641,0.0004863739,0.031873703,0.0,0.028733253,1.7876984,1.9265281,1.5555543,1.6581475
642,0.00047779083,0.033470154,0.0,0.033727646,1.7901793,1.9401764,1.5580498,1.6787759
643,0.0004644394,0.037169456,0.0,0.028377533,1.7784992,1.9530488,1.5649735,1.6664004
644,0.00045967102,0.042838097,0.0,0.024606705,1.768857,1.9780213,1.5716499,1.6596065
645,0.00044298172,0.05762577,0.0,0.017589092,1.761435,1.9970375,1.5791012,1.6418046
646,0.00044250488,0.05063629,0.0,0.014291763,1.7556825,1.9603192,1.5886618,1.6397308
647,0.00042772293,0.027475834,0.0,0.015756607,1.7501278,1.8574883,1.5986546,1.6553673
648,0.0004081726,0.02246809,0.0,0.021162033,1.7477452,1.8348366,1.6033808,1.6801678
649,0.000395298,0.021483898,0.0,0.02940464,1.7479185,1.831041,1.6033163,1.7109052
650,0.0004043579,0.023212433,0.0,0.025112629,1.7485485,1.838582,1.5981551,1.6893654
651,0.00042533875,0.027209282,0.0,0.018999577,1.7523807,1.8587269,1.5897449,1.6579994
652,0.00043296814,0.0463686,0.0,0.013317108,1.7543014,1.9405193,1.587458,1.6349745
653,0.00042247772,0.054956913,0.0,0.013041496,1.7569729,1.9807234,1.579773,1.6260886
654,0.0004067421,0.03918886,0.0,0.013511658,1.7555221,1.9117427,1.5746294,1.622495
655,0.0004348755,0.026270866,0.0,0.015378475,1.7616506,1.8646722,1.5719055,1.6263943
656,0.00045776367,0.022245407,0.0,0.018538475,1.7647902,1.8514801,1.5708652,1.6367086
657,0.00043296814,0.017612457,0.0,0.024588108,1.7702945,1.8385237,1.5710703,1.6589394
658,0.00039243698,0.017127514,0.0,0.038954258,1.7828789,1.8497301,1.5722489,1.7136699
